timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701842608962,7995,Taaga,200,OK,Thread Group 1-41,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,577,0,0
1701842609607,7491,Taaga,200,OK,Thread Group 1-17,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,547,0,0
1701842612591,4622,Taaga,200,OK,Thread Group 1-3,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,466,0,0
1701842603790,13535,HomePage,200,OK,Thread Group 1-69,text,true,,370600,116,70,70,https://www.aarong.com/,766,0,162
1701842603161,14284,HomePage,200,OK,Thread Group 1-24,text,true,,370600,116,70,70,https://www.aarong.com/,1631,0,779
1701842603174,14523,HomePage,200,OK,Thread Group 1-25,text,true,,370600,116,70,70,https://www.aarong.com/,1543,0,767
1701842608470,9261,Taaga,200,OK,Thread Group 1-59,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,1590,0,0
1701842608603,9203,Taaga,200,OK,Thread Group 1-11,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,1630,0,0
1701842608597,9230,Taaga,200,OK,Thread Group 1-51,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,576,0,0
1701842612545,5343,Taaga,200,OK,Thread Group 1-38,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,406,0,0
1701842609796,8431,Taaga,200,OK,Thread Group 1-7,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,536,0,0
1701842610703,7539,Taaga,200,OK,Thread Group 1-27,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,601,0,0
1701842614527,3748,TaagaMan,200,OK,Thread Group 1-56,text,true,,491996,131,70,70,https://www.aarong.com/brand/taaga-man,1027,0,0
1701842607924,10658,Taaga,200,OK,Thread Group 1-57,text,true,,498904,127,69,69,https://www.aarong.com/brand/taaga,520,0,0
1701842609011,9734,Taaga,200,OK,Thread Group 1-15,text,true,,498904,127,69,69,https://www.aarong.com/brand/taaga,1527,0,0
1701842603497,15394,HomePage,200,OK,Thread Group 1-48,text,true,,370600,116,69,69,https://www.aarong.com/,1353,0,441
1701842613824,5109,Taaga,200,OK,Thread Group 1-66,text,true,,498904,127,69,69,https://www.aarong.com/brand/taaga,991,0,0
1701842603719,15458,HomePage,200,OK,Thread Group 1-64,text,true,,370600,116,69,69,https://www.aarong.com/,905,0,270
1701842609523,9654,Taaga,200,OK,Thread Group 1-4,text,true,,498904,127,69,69,https://www.aarong.com/brand/taaga,572,0,0
1701842607840,11368,Taaga,200,OK,Thread Group 1-63,text,true,,498904,127,69,69,https://www.aarong.com/brand/taaga,519,0,0
1701842609004,10404,Taaga,200,OK,Thread Group 1-29,text,true,,498904,127,69,69,https://www.aarong.com/brand/taaga,589,0,0
1701842610973,8536,Taaga,200,OK,Thread Group 1-60,text,true,,498904,127,69,69,https://www.aarong.com/brand/taaga,585,0,0
1701842612367,7154,Taaga,200,OK,Thread Group 1-62,text,true,,498904,127,69,69,https://www.aarong.com/brand/taaga,453,0,0
1701842615266,4328,TaagaMan,200,OK,Thread Group 1-55,text,true,,491996,131,69,69,https://www.aarong.com/brand/taaga-man,576,0,0
1701842613980,5717,Taaga,200,OK,Thread Group 1-44,text,true,,498904,127,68,68,https://www.aarong.com/brand/taaga,565,0,0
1701842613762,6157,Taaga,200,OK,Thread Group 1-54,text,true,,498904,127,68,68,https://www.aarong.com/brand/taaga,1508,0,0
1701842612191,7811,Taaga,200,OK,Thread Group 1-36,text,true,,498904,127,68,68,https://www.aarong.com/brand/taaga,1786,0,0
1701842615081,5121,TaagaMan,200,OK,Thread Group 1-10,text,true,,491996,131,68,68,https://www.aarong.com/brand/taaga-man,590,0,0
1701842611629,8607,Taaga,200,OK,Thread Group 1-45,text,true,,498904,127,67,67,https://www.aarong.com/brand/taaga,517,0,0
1701842610445,10039,Taaga,200,OK,Thread Group 1-20,text,true,,498905,127,67,67,https://www.aarong.com/brand/taaga,1446,0,0
1701842612592,7958,Taaga,200,OK,Thread Group 1-58,text,true,,498904,127,67,67,https://www.aarong.com/brand/taaga,1949,0,0
1701842614116,6768,TaagaMan,200,OK,Thread Group 1-1,text,true,,491996,131,67,67,https://www.aarong.com/brand/taaga-man,1460,0,0
1701842612539,8387,TaagaMan,200,OK,Thread Group 1-65,text,true,,491997,131,66,66,https://www.aarong.com/brand/taaga-man,3028,0,0
1701842614912,6286,Taaga,200,OK,Thread Group 1-49,text,true,,498904,127,65,65,https://www.aarong.com/brand/taaga,1068,0,0
1701842614637,6605,TaagaMan,200,OK,Thread Group 1-39,text,true,,491996,131,65,65,https://www.aarong.com/brand/taaga-man,3020,0,0
1701842603526,17817,HomePage,200,OK,Thread Group 1-50,text,true,,370600,116,64,64,https://www.aarong.com/,641,0,429
1701842615003,6346,Taaga,200,OK,Thread Group 1-70,text,true,,498904,127,64,64,https://www.aarong.com/brand/taaga,1629,0,0
1701842609003,12404,Taaga,200,OK,Thread Group 1-19,text,true,,498904,127,64,64,https://www.aarong.com/brand/taaga,2519,0,0
1701842612102,9361,Taaga,200,OK,Thread Group 1-26,text,true,,498904,127,64,64,https://www.aarong.com/brand/taaga,462,0,0
1701842612543,9624,Taaga,200,OK,Thread Group 1-52,text,true,,498904,127,64,64,https://www.aarong.com/brand/taaga,399,0,0
1701842611891,10278,Taaga,200,OK,Thread Group 1-68,text,true,,498904,127,64,64,https://www.aarong.com/brand/taaga,1786,0,0
1701842616728,5545,Taaga,200,OK,Thread Group 1-32,text,true,,498904,127,64,64,https://www.aarong.com/brand/taaga,358,0,0
1701842617698,4594,Taaga,200,OK,Thread Group 1-25,text,true,,498904,127,64,64,https://www.aarong.com/brand/taaga,345,0,0
1701842616805,5593,TaagaMan,200,OK,Thread Group 1-2,text,true,,491996,131,64,64,https://www.aarong.com/brand/taaga-man,1327,0,0
1701842612880,9649,Taaga,200,OK,Thread Group 1-42,text,true,,498904,127,63,63,https://www.aarong.com/brand/taaga,540,0,0
1701842616958,5609,TaagaMan,200,OK,Thread Group 1-41,text,true,,491996,131,63,63,https://www.aarong.com/brand/taaga-man,1434,0,0
1701842617325,5362,Taaga,200,OK,Thread Group 1-69,text,true,,498904,127,62,62,https://www.aarong.com/brand/taaga,402,0,0
1701842618241,4745,TaagaMan,200,OK,Thread Group 1-27,text,true,,491996,131,62,62,https://www.aarong.com/brand/taaga-man,452,0,0
1701842610515,12948,Taaga,200,OK,Thread Group 1-37,text,true,,498904,127,61,61,https://www.aarong.com/brand/taaga,1928,0,0
1701842618227,5608,TaagaMan,200,OK,Thread Group 1-7,text,true,,491996,131,61,61,https://www.aarong.com/brand/taaga-man,459,0,0
1701842616914,6936,TaagaMan,200,OK,Thread Group 1-22,text,true,,491996,131,60,60,https://www.aarong.com/brand/taaga-man,1412,0,0
1701842615919,7932,Taaga,200,OK,Thread Group 1-30,text,true,,498904,127,59,59,https://www.aarong.com/brand/taaga,573,0,0
1701842617807,6335,TaagaMan,200,OK,Thread Group 1-11,text,true,,491996,131,59,59,https://www.aarong.com/brand/taaga-man,357,0,0
1701842617099,7059,TaagaMan,200,OK,Thread Group 1-17,text,true,,491996,131,58,58,https://www.aarong.com/brand/taaga-man,439,0,0
1701842615338,8917,Taaga,200,OK,Thread Group 1-40,text,true,,498904,127,57,57,https://www.aarong.com/brand/taaga,1553,0,0
1701842614983,9272,Taaga,200,OK,Thread Group 1-14,text,true,,498905,127,57,57,https://www.aarong.com/brand/taaga,562,0,0
1701842611050,13221,Taaga,200,OK,Thread Group 1-8,text,true,,498904,127,57,57,https://www.aarong.com/brand/taaga,1435,0,0
1701842612967,11330,Taaga,200,OK,Thread Group 1-21,text,true,,498904,127,57,57,https://www.aarong.com/brand/taaga,561,0,0
1701842610822,13492,Taaga,200,OK,Thread Group 1-33,text,true,,498904,127,57,57,https://www.aarong.com/brand/taaga,1520,0,0
1701842613065,11278,Taaga,200,OK,Thread Group 1-9,text,true,,498904,127,57,57,https://www.aarong.com/brand/taaga,557,0,0
1701842616274,8164,TaagaMan,200,OK,Thread Group 1-43,text,true,,491996,131,57,57,https://www.aarong.com/brand/taaga-man,460,0,0
1701842617731,6744,TaagaMan,200,OK,Thread Group 1-59,text,true,,491996,131,56,56,https://www.aarong.com/brand/taaga-man,343,0,0
1701842617446,7101,Taaga,200,OK,Thread Group 1-24,text,true,,498904,127,55,55,https://www.aarong.com/brand/taaga,672,0,0
1701842612197,12862,Taaga,200,OK,Thread Group 1-67,text,true,,498904,127,55,55,https://www.aarong.com/brand/taaga,409,0,0
1701842619919,5394,TaagaMan,200,OK,Thread Group 1-54,text,true,,491996,131,55,55,https://www.aarong.com/brand/taaga-man,444,0,0
1701842612215,13128,Taaga,200,OK,Thread Group 1-16,text,true,,498904,127,54,54,https://www.aarong.com/brand/taaga,791,0,0
1701842612555,12920,Taaga,200,OK,Thread Group 1-12,text,true,,498904,127,54,54,https://www.aarong.com/brand/taaga,396,0,0
1701842618745,6820,TaagaMan,200,OK,Thread Group 1-15,text,true,,491996,131,54,54,https://www.aarong.com/brand/taaga-man,386,0,0
1701842620549,5059,TaagaMan,200,OK,Thread Group 1-58,text,true,,491996,131,53,53,https://www.aarong.com/brand/taaga-man,508,0,0
1701842622291,3403,TaagaMan,200,OK,Thread Group 1-25,text,true,,491996,131,52,52,https://www.aarong.com/brand/taaga-man,479,0,0
1701842618932,6882,TaagaMan,200,OK,Thread Group 1-66,text,true,,491996,131,51,51,https://www.aarong.com/brand/taaga-man,1460,0,0
1701842615432,10925,Taaga,200,OK,Thread Group 1-53,text,true,,498904,127,50,50,https://www.aarong.com/brand/taaga,3200,0,0
1701842621349,5257,TaagaMan,200,OK,Thread Group 1-70,text,true,,491996,131,50,50,https://www.aarong.com/brand/taaga-man,438,0,0
1701842619521,7109,TaagaMan,200,OK,Thread Group 1-62,text,true,,491996,131,49,49,https://www.aarong.com/brand/taaga-man,412,0,0
1701842617828,8881,TaagaMan,200,OK,Thread Group 1-51,text,true,,491996,131,48,48,https://www.aarong.com/brand/taaga-man,393,0,0
1701842603314,23464,HomePage,200,OK,Thread Group 1-35,text,true,,370600,116,47,47,https://www.aarong.com/,1423,0,624
1701842617889,8889,TaagaMan,200,OK,Thread Group 1-38,text,true,,491996,131,47,47,https://www.aarong.com/brand/taaga-man,375,0,0
1701842619177,7903,Taaga,200,OK,Thread Group 1-64,text,true,,498904,127,46,46,https://www.aarong.com/brand/taaga,741,0,0
1701842609492,17606,Taaga,200,OK,Thread Group 1-47,text,true,,498904,127,46,46,https://www.aarong.com/brand/taaga,597,0,0
1701842619697,7527,TaagaMan,200,OK,Thread Group 1-44,text,true,,491996,131,46,46,https://www.aarong.com/brand/taaga-man,416,0,0
1701842612308,14981,Taaga,200,OK,Thread Group 1-61,text,true,,498904,127,45,45,https://www.aarong.com/brand/taaga,4244,0,0
1701842624315,2995,TaagaMan,200,OK,Thread Group 1-33,text,true,,491997,131,45,45,https://www.aarong.com/brand/taaga-man,530,0,0
1701842619177,8273,TaagaMan,200,OK,Thread Group 1-4,text,true,,491996,131,44,44,https://www.aarong.com/brand/taaga-man,378,0,0
